location_in_metadata,real_location,,,,,,
SOUTH YORKSHIRE,Barnsley,Doncaster,Rotherham,Sheffield,,,
GREATER_LONDON,Greater London,,,,,,
LONDON,Greater London,,,,,,
CITY OF LONDON,Greater London,,,,,,
SUTTON-IN-ASHFIELD,Nottinghamshire,,,,,,
GALASHIELS,Scottish Borders,,,,,,
KIRKCALDY,Fife,,,,,,
KIRKALDY,Fife,,,,,,
MOTHERWELL,North Lanarkshire,,,,,,
GREATER MANCHESTER,Manchester,,,,,,
PAISLEY,Renfrewshire,,,,,,
INVERNESS,Highland,,,,,,
KILMARNOCK,East Ayrshire,,,,,,
MERSEYSIDE,Knowsley,Saint Helens,Sefton,Wirral,,,
CHESHIRE,Cheshire East,Cheshire West and Chester,,,,,
WEST YORKSHIRE,Bradford,Calderdale,Kirklees,Leeds,Wakefield,,
BERKSHIRE,Bracknell Forest,Reading,Slough,West Berkshire,Windsor and Maidenhead,Wokingham,
EAST YORKSHIRE,East Riding of Yorkshire,,,,,,
BORDERS,Scottish Borders,,,,,,
WEST MIDLANDS,Birmingham,Coventry,Wolverhampton,Dudley,Sandwell,Solihull,Walsall
TYNE AND WEAR,South Tyneside,North Tyneside,Newcastle upon Tyne,Sunderland,,,
RHONDDA CYNON TAF,Rhondda, Cynon, Taff,,,,
ISLE OF ANGLESEY,Anglesey,,,,,,
SHETLAND,Shetland Islands,,,,,,
PERTH AND KINROSS,Perthshire and Kinross,,,,,,
PERTH,Perthshire and Kinross,,,,,,
CAMARTHENSHIRE,Carmarthenshire,,,,,,
COUNTY DURHAM,Durham,,,,,,
KIRKWALL,Orkney Islands,,,,,,
OUTER HEBRIDES,Eilean Siar,,,,,,
SUSSEX,West Sussex,East Sussex,,,,,
BELFAST,Antrim,,,,,,
GLASGOW CITY,Glasgow,,,,,,
STAFFORD,Staffordshire,,,,,,
BIRMINGHAM HEARTLANDS HOSPITAL,Birmingham,,,,,,
BALSALL HEATH,Birmingham,,,,,,
EDGBASTON,Birmingham,,,,,,
KINGS NORTON,Birmingham,,,,,,
LEDBURY,Herefordshire,,,,,,
LUDLOW,Shropshire,,,,,,
MIDDLESEX,Greater London,,,,,,
NORTHFIELD,Edinburgh,,,,,,
ROSS ON WYE,Herefordshire,,,,,,
SMETHWICK,Staffordshire,,,,,,
BEDWORTH,Warwickshire,,,,,,
BOURNVILLE,Birmingham,,,,,,
SUTTON COLDFIELD,Birmingham,,,,,,
STIRCHLEY,Birmingham,,,,,,
WITTON,Birmingham,,,,,,
LICKEY,Worcestershire,,,,,,
GLAMORGAN,Vale of Glamorgan,,,,,,
BROMSGROVE,Worcestershire,,,,,,
ABERDEEN CITY,Aberdeen,,,,,,
SALTLEY,Birmingham,,,,,,
HANDSWORTH,Birmingham,,,,,,
ASTON,Birmingham,,,,,,
ACOCKS GREEN,Birmingham,,,,,,
SMALL HEATH,Birmingham,,,,,,
ERDINGTON,Birmingham,,,,,,
KINGS HEATH,Birmingham,,,,,,
TAMWORTH,Staffordshire,,,,,,
QUINTON,Birmingham,,,,,,
HOCKLEY,Essex,,,,,,
WORCESTER,Worcestershire,,,,,,
RUBERY,Worcestershire,,,,,,
CATSHILL,Worcestershire,,,,,,
MOSELEY,Birmingham,,,,,,
CASTLE BROMWICH,Solihull,,,,,,
NRTH LANARKSHIRE,North Lanarkshire,,,,,,
KINGSTANDING,Birmingham,,,,,,
CENTRAL BHAM,Birmingham,,,,,,
WASHWOOD HEATH,Birmingham,,,,,,
WEOLEY CASTLE,Birmingham,,,,,,
STOKE ON TRENT,Stoke-on-Trent,,,,,,
HARBORNE,Birmingham,,,,,,
CHELMSLEY WOOD,Solihull,,,,,,
SWADLINCOTE,Derbyshire,,,,,,
REDNAL,Birmingham,,,,,,
WARWICK,Warwickshire,,,,,,
GREAT BARR,Birmingham,,,,,,
BARTLEY GREEN,Birmingham,,,,,,
WORDSLEY,Dudley,,,,,,
UPPER GORNAL,Dudley,,,,,,
LONGBRIDGE,Birmingham,,,,,,
BILLESLEY,Birmingham,,,,,,
CITY OF EDINBURGH,Edinburgh,,,,,,
HALESOWEN,Dudley,,,,,,
STECHFORD,Birmingham,,,,,,
SHARD END,Birmingham,,,,,,
HODGE HILL,Birmingham,,,,,,
KIDDERMINSTER,Worcestershire,,,,,,
SHIRLEY,Solihull,,,,,,
DUNDEE CITY,Dundee,,,,,,
CLWYD,Conwy,Denbighshire,Flintshire,Wrexham,,,
BORDESLEY GREEN,Birmingham,,,,,,
SELLY OAK,Birmingham,,,,,,
FRANKLEY,Worcestershire,,,,,,